source_id,calories_kcal,proteines_g,glucides_g,lipides_g
25185,167,4.61,28.3,3.57
25187,120,2.74,18.4,3.8
25188,130,5.47,12.5,6.07
25189,195,5.65,30.9,5.16
25192,91.1,2.88,13.5,2.45
25193,156,5.19,20.9,4.9
25198,163,7.17,15.9,7.4
25203,255,9.4,41.4,5.06
25216,199,7.98,25.7,6.53
25217,150,2.5,18.6,6.5
25218,122,4.38,11.8,5.9
25219,179,7,14,10.2
25635,133,6.1,11.4,6.6
4041,195,8.06,9.5,13.3
19437,,12.9,15,19.2
25020,184,12.9,3.8,12.6
25137,161,6,13.5,8.9
25437,399,16.2,22.7,26.6
25509,231,16.2,2.6,17.2
25546,263,17.4,15.3,14.6
20914,,15.5,8.7,14.7
20917,157,16.1,7.89,4.7
25225,284,12.6,22.4,14.9
25226,253,14.1,18.5,12.6
25227,251,15.5,19.7,10.9
25228,260,14.4,16.8,13.9
25229,245,16.9,18.8,10
25230,247,15.2,15.1,13.1
25231,91.7,3.13,12.5,2.7
25233,241,7,27.8,10.3
25234,211,5.31,28,7.6
25589,211,17.6,7.98,10.6
25591,170,9.71,16.7,5.6
25592,208,12.5,20.8,7.1
25593,215,16,8.15,11
25594,201,10.2,13.3,10.2
25595,204,16.8,6.08,12
25596,175,13.1,8.36,8.1
25597,180,15.1,7.72,9.1
30181,143,11.5,7.01,5.8
25404,227,8.93,29.6,7.64
25405,274,8.96,21,16.8
25409,136,5.75,18.7,4
25410,182,8.83,19.1,7.5
25411,150,4.83,20.7,5.02
25417,216,5,21.8,11.7
25435,218,10.3,28,6.69
25444,289,10.3,20.7,18
25454,241,5.5,20,14.3
25457,227,10.3,27.2,8.03
25459,170,8,14.3,8.5
25460,158,12.7,16,4.5
25462,248,10.4,26.5,10.7
25463,200,10.3,24.6,6.65
25464,231,10.1,26.7,8.78
25468,245,10.7,26.9,9.96
25472,214,8.48,25.7,8
25477,217,7.8,31.6,6.1
25478,267,13.1,28.2,10.5
25516,233,10.7,27.3,8.39
25528,284,6.4,33.8,13.1
25529,280,7,23.5,17.2
25548,205,9.54,25.7,6.66
25549,149,6.02,17.7,5.75
25550,300,8.81,31.8,14.8
25552,159,8.3,16.6,6.3
25553,243,5.76,21.6,14.3
25555,215,8.53,21,10.5
25560,251,10.2,23.7,12.6
25561,218,5.17,19.3,12.8
25562,209,12.7,15.2,9.8
25564,266,8.25,24.2,14.5
25568,218,12.3,14.1,12.2
25570,255,11.2,27.7,10.6
25572,168,7.7,15.8,8
25573,267,8.11,22.7,15.6
25581,172,5.5,18.5,7.7
25623,315,14.1,22.1,18.3
25625,206,8.5,14.3,12.4
26256,151,8.6,11.9,7.5
26267,244,7.08,22.2,13.6
26268,306,8.15,30.9,16
26270,220,10.8,23.3,8.78
26271,211,9.4,26.6,7.01
26272,215,9.95,27.5,6.68
26273,276,11.8,27.5,12.7
26274,240,12.2,25.7,9.43
7811,233,8,29.5,8.75
7812,306,9.53,38.8,11.8
25400,,14.3,,18.4
25403,278,10.9,26.3,13.8
25413,246,13.3,28.3,8.44
25414,268,13.7,23.1,12.9
25415,299,15.5,21.5,16.7
25416,263,12.2,26.7,11.5
25428,233,15.2,17.4,10.9
25429,246,15,23.6,9.8
25431,274,10.3,32,11.3
25434,243,14.2,27.2,8.35
25475,222,10.1,30.9,5.98
25476,247,10,36.3,6.35
25485,285,13.3,26.9,13.1
25488,265,11.5,40.8,5.6
25490,198,8.87,25,6.03
25502,249,12.7,23.8,11
25513,215,7.95,30.3,6.48
25517,285,9.93,33.7,11.5
25518,339,11.9,34.3,16.7
25519,298,10.1,32.1,13.9
25520,383,13.7,32,21.6
25521,286,12.2,32.7,10.9
25522,243,14.2,27.2,8.35
25523,233,9.09,17.8,13.3
25530,221,6.54,30,7.9
25531,255,12.4,30.6,8.82
25532,247,8.52,30.9,9.47
25533,267,12,30.1,10.6
25535,282,13.1,31,11.4
25536,379,12.5,33.2,21.4
25542,264,13.7,16.9,15.5
25543,277,11.2,31.4,11.6
25544,267,11.7,25.1,12.4
25547,273,11.3,26.8,12.9
25574,243,10,23.1,11.6
25575,240,9.82,23.1,11.3
25576,292,12.9,26.1,14.6
25577,232,9.18,23.7,10.4
7814,321,11.6,25.6,18.4
25108,230,9.33,16.5,13.7
25151,255,6.55,26.5,13
25169,149,5.9,28,1.4
25399,321,6.69,23.1,22.1
25401,302,8.25,28.1,17.1
25402,348,9.59,25.9,22.6
25412,292,6.12,23.5,18.9
25418,243,7.9,19.2,14.6
25419,103,4.57,16.6,1.82
25420,216,6.48,21.1,11.2
25438,187,12.2,8.48,11.5
