id,qty_remaining,initial_qty,unit,storage_method,storage_place,acquired_on,expiration_date,notes,user_id,created_at,updated_at,product_id,canonical_food_id,cultivar_id,archetype_id,adjusted_expiration_date,is_opened,opened_at,container_size,container_unit,is_containerized
ffbe9262-824d-4bc0-8c8c-d8b654c4b519,5.000,5.000,u,pantry,Garde-manger,2026-06-07,2026-09-05,,9055926b-ed29-49f1-96b8-fc717973b333,2026-06-07 18:28:09.292586+00,2026-06-07 18:28:09.292586+00,,1053,,,,f,,,,
edc449cd-8105-42b2-a085-f76a5e78fc59,1200.000,1200.000,g,fridge,Frigo,2026-06-08,2026-06-12,,9055926b-ed29-49f1-96b8-fc717973b333,2026-06-08 11:07:42.50503+00,2026-06-08 11:07:42.50503+00,,14011,,,,f,,,,f
4f57260d-862b-41df-a319-5e3296da1088,1200.000,1200.000,g,fridge,Frigo,2026-06-08,2026-06-12,,9055926b-ed29-49f1-96b8-fc717973b333,2026-06-08 11:07:44.53908+00,2026-06-08 11:07:44.53908+00,,14011,,,,f,,,,f
4a8fd69e-6890-4eff-906e-29cf3138fb8c,150.000,150.000,g,fridge,Frigo,2026-06-08,2026-06-11,,9055926b-ed29-49f1-96b8-fc717973b333,2026-06-08 12:38:34.946725+00,2026-06-08 12:38:34.946725+00,,,,379,,f,,,,f
44055e4a-05ab-48aa-8c50-67ce2052963f,500.000,500.000,g,fridge,réfrigérateur,2026-06-08,2026-06-12,,9055926b-ed29-49f1-96b8-fc717973b333,2026-06-08 16:56:54.181228+00,2026-06-08 16:58:11.773922+00,,3001,,,,f,,,,f
