alim_code,alim_nom_fr,groupe,sous_groupe
24999,Dessert (aliment moyen),"",""
25601,"Salade de thon et légumes, appertisée",entrées et plats composés,salades composées et crudités
25602,"Salade composée avec viande ou poisson, appertisée",entrées et plats composés,salades composées et crudités
25605,"Champignons à la grecque, appertisés",entrées et plats composés,salades composées et crudités
25606,"Salade de pommes de terre, fait maison",entrées et plats composés,salades composées et crudités
25608,"Taboulé ou Salade de couscous, préemballé",entrées et plats composés,salades composées et crudités
25609,"Salade de pomme de terre à la piémontaise, préemballée",entrées et plats composés,salades composées et crudités
25614,"Salade de riz, appertisée",entrées et plats composés,salades composées et crudités
25615,"Salade de pâtes, végétarienne",entrées et plats composés,salades composées et crudités
25616,"Crudité, sans assaisonnement (aliment moyen)",entrées et plats composés,salades composées et crudités
25619,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",entrées et plats composés,salades composées et crudités
25626,"Macédoine de légumes en salade, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
25628,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",entrées et plats composés,salades composées et crudités
25629,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",entrées et plats composés,salades composées et crudités
26257,"Carottes râpées, avec sauce, préemballées",entrées et plats composés,salades composées et crudités
26258,"Salade de betterave, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
26259,"Salade de chou ou Coleslaw, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
26260,"Salade de concombre à la crème/fromage blanc, préemballée",entrées et plats composés,salades composées et crudités
26261,"Salade de lentilles et saucisse fumée, préemballée",entrées et plats composés,salades composées et crudités
26262,"Salade grecque, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
26263,"Salade de riz à la niçoise, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
26269,"Taboulé ou Salade de couscous au poulet, préemballé",entrées et plats composés,salades composées et crudités
25900,"Soupe aux lentilles, préemballée à réchauffer",entrées et plats composés,soupes
25901,"Soupe à la volaille et aux légumes, préemballée à réchauffer",entrées et plats composés,soupes
25903,"Soupe aux légumes variés, préemballée à réchauffer",entrées et plats composés,soupes
25904,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",entrées et plats composés,soupes
25905,"Soupe aux légumes variés, déshydratée reconstituée",entrées et plats composés,soupes
25907,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",entrées et plats composés,soupes
25908,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",entrées et plats composés,soupes
25909,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",entrées et plats composés,soupes
25910,"Soupe à l'oignon, préemballée à réchauffer",entrées et plats composés,soupes
25912,"Soupe aux champignons, préemballée à réchauffer",entrées et plats composés,soupes
25913,"Soupe à la carotte, préemballée à réchauffer",entrées et plats composés,soupes
25914,"Soupe à la tomate, préemballée à réchauffer",entrées et plats composés,soupes
25915,"Soupe chorba frik, à base de viande et de frik",entrées et plats composés,soupes
25916,"Soupe minestrone, préemballée à réchauffer",entrées et plats composés,soupes
25917,"Soupe au pistou, déshydratée reconstituée",entrées et plats composés,soupes
25919,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",entrées et plats composés,soupes
25923,"Soupe asiatique, avec pâtes, déshydratée reconstituée",entrées et plats composés,soupes
25924,"Soupe marocaine, déshydratée reconstituée",entrées et plats composés,soupes
25925,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",entrées et plats composés,soupes
25928,"Soupe à la volaille et aux légumes, déshydratée reconstituée",entrées et plats composés,soupes
25930,"Bouillon de boeuf, déshydraté reconstitué",entrées et plats composés,soupes
25932,"Soupe aux asperges, déshydratée reconstituée",entrées et plats composés,soupes
25933,"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",entrées et plats composés,soupes
25934,"Soupe aux céréales et aux légumes, déshydratée reconstituée",entrées et plats composés,soupes
25935,"Soupe à la tomate, déshydratée reconstituée",entrées et plats composés,soupes
25936,"Soupe aux champignons, déshydratée reconstituée",entrées et plats composés,soupes
25942,"Soupe à l'oignon, déshydratée reconstituée",entrées et plats composés,soupes
25945,"Soupe au potiron, préemballée à réchauffer",entrées et plats composés,soupes
25947,"Bouillon de volaille, déshydraté reconstitué",entrées et plats composés,soupes
25948,"Bouillon de légumes, déshydraté reconstitué",entrées et plats composés,soupes
25949,"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",entrées et plats composés,soupes
25950,"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",entrées et plats composés,soupes
25953,"Soupe au pistou, préemballée à réchauffer",entrées et plats composés,soupes
25954,"Soupe au potiron, déshydratée reconstituée",entrées et plats composés,soupes
25955,"Soupe asiatique, avec pâtes, préemballée à réchauffer",entrées et plats composés,soupes
25956,"Soupe minestrone, déshydratée reconstituée",entrées et plats composés,soupes
25957,"Soupe au cresson, déshydratée reconstituée",entrées et plats composés,soupes
25958,"Soupe au cresson, préemballée à réchauffer",entrées et plats composés,soupes
25962,"Soupe aux légumes avec fromage, préemballée à réchauffer",entrées et plats composés,soupes
25963,"Soupe aux légumes verts, préemballée à réchauffer",entrées et plats composés,soupes
25964,"Soupe aux légumes verts, déshydratée reconstituée",entrées et plats composés,soupes
25965,"Soupe aux pois cassés, préemballée à réchauffer",entrées et plats composés,soupes
25967,"Soupe froide type Gaspacho ou Gazpacho, préemballée",entrées et plats composés,soupes
25968,"Soupe aux asperges, préemballée à réchauffer",entrées et plats composés,soupes
25969,Soupe (aliment moyen),entrées et plats composés,soupes
25972,"Soupe miso, déshydratée reconstituée",entrées et plats composés,soupes
8601,Tripes à la mode de Caen,entrées et plats composés,plats composés
8602,"Tripes à la mode de Caen, préemballées",entrées et plats composés,plats composés
8612,Tripes à la tomate ou à la provençale,entrées et plats composés,plats composés
25001,Blanquette de veau,entrées et plats composés,plats composés
25033,Boeuf bourguignon,entrées et plats composés,plats composés
25035,"Sauté d'agneau au curry, préemballé",entrées et plats composés,plats composés
25058,"Canard en sauce (poivre vert, chasseur, etc.), préemballé",entrées et plats composés,plats composés
25063,"Lapin à la moutarde, préemballé",entrées et plats composés,plats composés
25121,Coq au vin,entrées et plats composés,plats composés
25125,Paupiette de veau,entrées et plats composés,plats composés
25126,Paupiette de volaille,entrées et plats composés,plats composés
25172,Viande en sauce (aliment moyen),entrées et plats composés,plats composés
25174,Poulet au curry et au lait de coco,entrées et plats composés,plats composés
25175,"Meloukhia, plat à base de boeuf et corete, fait maison",entrées et plats composés,plats composés
25200,"Palette à la diable, préemballée",entrées et plats composés,plats composés
25201,"Langue de boeuf sauce madère, préemballée",entrées et plats composés,plats composés
25207,"Porc au caramel, préemballé",entrées et plats composés,plats composés
25211,"Boulettes au boeuf, à la sauce tomate, préemballées",entrées et plats composés,plats composés
25213,"Paupiette de veau, préemballée,  cuite au four",entrées et plats composés,plats composés
25538,"Carpaccio de boeuf, avec marinade",entrées et plats composés,plats composés
25565,Yakitori (brochettes japonaises grillées en sauce),entrées et plats composés,plats composés
25585,"Brochette de boeuf, cuite",entrées et plats composés,plats composés
25586,"Brochette de volaille, cuite",entrées et plats composés,plats composés
25009,"Hachis parmentier à la viande, préemballé",entrées et plats composés,plats composés
25029,Couscous au mouton,entrées et plats composés,plats composés
25043,"Couscous à la viande ou au poulet, préemballé, allégé",entrées et plats composés,plats composés
25057,"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",entrées et plats composés,plats composés
25127,"Couscous royal (avec plusieurs viandes), préemballé",entrées et plats composés,plats composés
25138,Couscous au poulet,entrées et plats composés,plats composés
25152,"Couscous à la viande, préemballé",entrées et plats composés,plats composés
25195,"Parmentier de canard, préemballé",entrées et plats composés,plats composés
25587,"Parmentier de canard, préemballé, cuit",entrées et plats composés,plats composés
25002,"Cassoulet, appertisé",entrées et plats composés,plats composés
25003,"Choucroute garnie, préemballée",entrées et plats composés,plats composés
25010,"Petit salé ou saucisse aux lentilles, préemballé",entrées et plats composés,plats composés
25013,"Pot-au-feu, préemballé",entrées et plats composés,plats composés
25065,Boeuf aux carottes,entrées et plats composés,plats composés
25071,Potée auvergnate (chou et porc),entrées et plats composés,plats composés
25098,"Cassoulet au porc, appertisé",entrées et plats composés,plats composés
25099,"Cassoulet au canard ou oie, appertisé",entrées et plats composés,plats composés
25103,Tomate farcie,entrées et plats composés,plats composés
25106,"Chou farci, préemballé",entrées et plats composés,plats composés
25111,"Chili con carne, préemballé",entrées et plats composés,plats composés
25123,Moussaka,entrées et plats composés,plats composés
25124,Navarin d'agneau aux légumes,entrées et plats composés,plats composés
25159,Tajine de mouton,entrées et plats composés,plats composés
25164,Osso buco,entrées et plats composés,plats composés
25190,"Poulet basquaise, préemballé",entrées et plats composés,plats composés
25204,"Tajine de poulet, préemballé",entrées et plats composés,plats composés
25205,"Chop suey (porc ou poulet), préemballé",entrées et plats composés,plats composés
25511,Légumes farcis (sauf tomate),entrées et plats composés,plats composés
10082,Moules marinières (oignons et vin blanc),entrées et plats composés,plats composés
10083,"Moules farcies (matière grasse, persillade…), préemballées, crues",entrées et plats composés,plats composés
25037,"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",entrées et plats composés,plats composés
25038,"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",entrées et plats composés,plats composés
25077,"Saumon à l'oseille, préemballé",entrées et plats composés,plats composés
25086,"Poisson blanc à la bordelaise, préemballé",entrées et plats composés,plats composés
25128,"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",entrées et plats composés,plats composés
25140,"Poisson blanc à la florentine (sauce aux épinards), préemballé",entrées et plats composés,plats composés
25141,"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",entrées et plats composés,plats composés
25142,"Poisson blanc à la sauce moutarde, préemballé",entrées et plats composés,plats composés
25143,"Poisson blanc à la parisienne (sauce aux champignons), préemballé",entrées et plats composés,plats composés
25145,"Poisson blanc à l'estragon, préemballé",entrées et plats composés,plats composés
25146,"Poisson blanc sauce oseille, préemballé",entrées et plats composés,plats composés
25210,"Saumon farci, préemballé",entrées et plats composés,plats composés
25539,Brochette de poisson,entrées et plats composés,plats composés
25540,Brochette de crevettes,entrées et plats composés,plats composés
26054,"Poisson en sauce, surgelé",entrées et plats composés,plats composés
26140,Poisson cuit (aliment moyen),entrées et plats composés,plats composés
26249,"Poisson blanc, cuit (aliment moyen)",entrées et plats composés,plats composés
26250,"Poisson blanc, de mer, cuit (aliment moyen)",entrées et plats composés,plats composés
25031,Paëlla,entrées et plats composés,plats composés
25107,Couscous au poisson,entrées et plats composés,plats composés
25154,"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",entrées et plats composés,plats composés
25456,Sushi ou Maki aux produits de la mer,entrées et plats composés,plats composés
8296,Terrine ou mousse de légumes,entrées et plats composés,plats composés
8297,Flan de légumes,entrées et plats composés,plats composés
20194,"Haricots blancs à la sauce tomate, appertisés",entrées et plats composés,plats composés
20240,"Piperade basquaise, préemballée",entrées et plats composés,plats composés
20262,"Poêlée de légumes assaisonnés sans champignon, surgelée, crue",entrées et plats composés,plats composés
20273,"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",entrées et plats composés,plats composés
20274,"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",entrées et plats composés,plats composés
20498,"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",entrées et plats composés,plats composés
25018,"Ratatouille cuisinée, préemballée",entrées et plats composés,plats composés
25026,"Épinards à la crème, préemballés",entrées et plats composés,plats composés
25052,"Gratin d'aubergine, préemballé",entrées et plats composés,plats composés
25056,Gratin dauphinois,entrées et plats composés,plats composés
25073,Endive au jambon,entrées et plats composés,plats composés
25101,"Gratin de chou-fleur, préemballé",entrées et plats composés,plats composés
25162,Gratin de légumes,entrées et plats composés,plats composés
25196,"Riste d'aubergines (aubergines, tomates, oignons), préemballée",entrées et plats composés,plats composés
25199,"Palet ou galette de légumes, préfrit, surgelé",entrées et plats composés,plats composés
25208,"Palet ou galette de légumes, préfrit, surgelé, cuit",entrées et plats composés,plats composés
25220,"Choucroute, sans garniture, égouttée, cuite",entrées et plats composés,plats composés
25524,"Tomate à la provençale, fait maison",entrées et plats composés,plats composés
25556,Beignet de légumes,entrées et plats composés,plats composés
25571,"Falafel ou Boulette de pois-chiche et/ou fève, frite",entrées et plats composés,plats composés
25588,"Gratin de légumes en sauce blanche type béchamel, cuit",entrées et plats composés,plats composés
25590,"Falafel ou Boulette de pois-chiche et/ou fève, préemballé",entrées et plats composés,plats composés
9082,"Blé dur précuit cuisiné, en sachet micro-ondable",entrées et plats composés,plats composés
9083,"Blé dur précuit, grains entiers, cuisiné, à poêler",entrées et plats composés,plats composés
25019,"Ravioli à la viande, sauce tomate, appertisé",entrées et plats composés,plats composés
25081,Lasagnes ou cannelloni à la viande (bolognaise),entrées et plats composés,plats composés
25085,"Pâtes à la bolognaise (spaghetti, tagliatelles…)",entrées et plats composés,plats composés
25088,Riz cantonais,entrées et plats composés,plats composés
25110,"Ravioli chinois à la vapeur à la crevette, cuit",entrées et plats composés,plats composés
25122,Gratin de pâtes,entrées et plats composés,plats composés
25131,"Lasagnes ou cannellonis aux légumes, préemballées, cuits",entrées et plats composés,plats composés
25135,"Pâtes à la carbonara (spaghetti, tagliatelles…)",entrées et plats composés,plats composés
25139,"Lasagnes ou cannellonis au poisson, préemballées",entrées et plats composés,plats composés
25149,"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites",entrées et plats composés,plats composés
25150,"Couscous de légumes, préemballé",entrées et plats composés,plats composés
25155,"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites",entrées et plats composés,plats composés
25157,"Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues",entrées et plats composés,plats composés
25158,"Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites",entrées et plats composés,plats composés
25181,"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues",entrées et plats composés,plats composés
25182,"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues",entrées et plats composés,plats composés
25183,Nouilles sautées/poêlées aux crevettes,entrées et plats composés,plats composés
25184,"Riz blanc, avec poulet, préemballé, cuit",entrées et plats composés,plats composés
25185,"Riz blanc, avec légumes et viande, préemballé, cuit",entrées et plats composés,plats composés
25187,"Risotto, aux légumes, préemballé",entrées et plats composés,plats composés
25188,"Risotto, aux fruits de mer, préemballé",entrées et plats composés,plats composés
25189,"Risotto, aux fromages, préemballé",entrées et plats composés,plats composés
25192,"Raviolis aux légumes, sauce tomate, appertisés",entrées et plats composés,plats composés
25193,"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites",entrées et plats composés,plats composés
25198,"Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées",entrées et plats composés,plats composés
25203,"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",entrées et plats composés,plats composés
25216,"Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen)",entrées et plats composés,plats composés
25217,"Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée",entrées et plats composés,plats composés
25218,"Lasagnes ou cannellonis aux légumes, préemballés, cuits",entrées et plats composés,plats composés
25219,"Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits",entrées et plats composés,plats composés
25635,"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",entrées et plats composés,plats composés
4041,"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",entrées et plats composés,plats composés
19437,"Fromage de chèvre pané à dorer, préemballé",entrées et plats composés,plats composés
25020,Soufflé au fromage,entrées et plats composés,plats composés
25137,"Tartiflette, préemballée",entrées et plats composés,plats composés
25437,Gougère,entrées et plats composés,plats composés
25509,"Préparation à base de fromage(s) pour fondue savoyarde, préemballée",entrées et plats composés,plats composés
25546,Fromage pané au jambon,entrées et plats composés,plats composés
20914,Escalope végétale ou steak à base de soja,entrées et plats composés,plats composés
20917,Tempeh,entrées et plats composés,plats composés
25225,"Nuggets de blé (sans soja), préemballé",entrées et plats composés,plats composés
25226,"Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé",entrées et plats composés,plats composés
25227,"Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé",entrées et plats composés,plats composés
25228,Pané soja et blé (ne convient pas aux véganes ou végétaliens),entrées et plats composés,plats composés
25229,"Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée",entrées et plats composés,plats composés
25230,"Escalope panée, soja, blé et fromage, type cordon bleu, préemballée",entrées et plats composés,plats composés
25231,"Raviolis au tofu, à la sauce tomate, préemballés",entrées et plats composés,plats composés
25233,"Galette de céréales au fromage (sans soja), préemballé",entrées et plats composés,plats composés
25234,"Galette de céréales aux légumes (sans soja), préemballé",entrées et plats composés,plats composés
25589,"Boulette végétale au soja et/ou blé, préemballée",entrées et plats composés,plats composés
25591,"Galette ou pavé aux lentilles, soja et légumes, préemballé",entrées et plats composés,plats composés
25592,"Galette ou pavé au blé (seitan) et légumes, préemballé",entrées et plats composés,plats composés
25593,"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé",entrées et plats composés,plats composés
25594,"Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé",entrées et plats composés,plats composés
25595,"Galette ou pavé au soja et fromage, préemballé",entrées et plats composés,plats composés
25596,"Galette ou pavé au soja et légumes, préemballé",entrées et plats composés,plats composés
25597,"Galette ou pavé au soja, fromage et légumes, préemballé",entrées et plats composés,plats composés
30181,"Haché végétal à base de soja, préemballé",entrées et plats composés,plats composés
25404,"Pizza au fromage ou Pizza margherita, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25405,"Quiche lorraine, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25409,"Crêpe ou Galette fourrée béchamel jambon, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25410,"Crêpe ou Galette fourrée béchamel jambon fromage, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25411,"Crêpe ou Galette fourrée béchamel champignon, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25417,"Tarte aux légumes, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25435,"Pizza jambon fromage, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25444,"Tarte au fromage, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25454,"Tarte à la provençale, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25457,"Pizza à la viande, type bolognaise, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25459,Burritos,entrées et plats composés,"pizzas, tartes et crêpes salées"
25460,Fajitas,entrées et plats composés,"pizzas, tartes et crêpes salées"
25462,"Pizza au chorizo ou salami, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25463,"Pizza aux fruits de mer, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25464,"Pizza au saumon, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25468,"Pizza au chèvre et lardons, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25472,"Pizza aux légumes ou Pizza 4 saisons, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25477,"Pizza champignons fromage, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25478,"Pizza 4 fromages, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25516,Pizza (aliment moyen),entrées et plats composés,"pizzas, tartes et crêpes salées"
25528,"Pissaladière, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25529,"Tarte à l'oignon, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25548,"Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25549,"Crêpe ou Galette fourrée béchamel fromage, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25550,"Flammenkueche ou Tarte flambée aux lardons, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25552,"Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25553,"Tarte ou Tourte aux poireaux, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25555,"Tarte au saumon, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25560,"Tourte au riesling, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25561,"Tarte à la tomate, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25562,"Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25564,"Tarte aux noix de Saint-Jacques, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25568,"Pastilla au poulet, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25570,"Pizza aux lardons, oignons et fromage, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25572,"Crêpe ou Galette aux noix de St Jacques, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25573,Tarte ou quiche salée (aliment moyen),entrées et plats composés,"pizzas, tartes et crêpes salées"
25581,"Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25623,"Tarte au maroilles ou Flamiche au maroilles, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
25625,"Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
26256,"Ficelle picarde, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
26267,"Tarte épinard chèvre, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
26268,"Tielle sétoise, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
26270,"Pizza au thon, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
26271,"Pizza kebab, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
26272,"Pizza au poulet, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
26273,"Pizza type raclette ou tartiflette, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
26274,"Pizza au speck ou jambon cru, préemballée",entrées et plats composés,"pizzas, tartes et crêpes salées"
20139,"Courge, crue","fruits, légumes, légumineuses et oléagineux",légumes
20145,"Courge spaghetti, pulpe, crue","fruits, légumes, légumineuses et oléagineux",légumes
20151,"Piment, cru","fruits, légumes, légumineuses et oléagineux",légumes
20159,"Champignon, oronge vraie, crue","fruits, légumes, légumineuses et oléagineux",légumes
20160,"Champignon, cèpe, cru","fruits, légumes, légumineuses et oléagineux",légumes
20161,"Champignon, rosé des prés, cru","fruits, légumes, légumineuses et oléagineux",légumes
20162,"Chicorée rouge, crue","fruits, légumes, légumineuses et oléagineux",légumes
20163,"Chicorée verte, crue","fruits, légumes, légumineuses et oléagineux",légumes
20166,"Citrouille, pulpe, crue","fruits, légumes, légumineuses et oléagineux",légumes
20167,"Chou chinois ou pak-choi ou pé-tsai, cru","fruits, légumes, légumineuses et oléagineux",légumes
20168,"Poivron jaune, cru","fruits, légumes, légumineuses et oléagineux",légumes
20171,"Laitue romaine, crue","fruits, légumes, légumineuses et oléagineux",légumes
20172,"Tomate cerise, crue","fruits, légumes, légumineuses et oléagineux",légumes
20173,"Pois mange-tout ou pois gourmand, cru","fruits, légumes, légumineuses et oléagineux",légumes
20181,"Panais, cru","fruits, légumes, légumineuses et oléagineux",légumes
20183,"Haricot mungo germé ou pousse de ""soja"", cru","fruits, légumes, légumineuses et oléagineux",légumes
20192,"Tomate côtelée ou coeur de boeuf, crue","fruits, légumes, légumineuses et oléagineux",légumes
20195,"Haricot beurre, cru","fruits, légumes, légumineuses et oléagineux",légumes
20197,"Salsifis noir, ou scorsonère d'Espagne, cru","fruits, légumes, légumineuses et oléagineux",légumes
20198,"Bambou, pousse, crue","fruits, légumes, légumineuses et oléagineux",légumes
20199,"Cresson alénois, cru","fruits, légumes, légumineuses et oléagineux",légumes
20200,"Laitue iceberg, crue","fruits, légumes, légumineuses et oléagineux",légumes
20201,"Rutabaga, cru","fruits, légumes, légumineuses et oléagineux",légumes
20203,"Haricot beurre, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20204,"Brocoli, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20206,"Chou de Bruxelles, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20208,"Carotte, surgelée, crue","fruits, légumes, légumineuses et oléagineux",légumes
20210,"Concombre, pulpe, cru","fruits, légumes, légumineuses et oléagineux",légumes
20214,"Petits pois et carottes, surgelés, crus","fruits, légumes, légumineuses et oléagineux",légumes
20217,"Roquette, crue","fruits, légumes, légumineuses et oléagineux",légumes
20218,"Chou frisé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20228,"Champignon de Paris ou champignon de couche, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20230,"Courgette, pulpe et peau, surgelée, crue","fruits, légumes, légumineuses et oléagineux",légumes
20231,"Crosne, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20232,"Artichaut, fond, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20233,"Maïs doux, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20234,"Navet, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20235,"Oignon, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20236,"Poireau, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20237,"Salsifis, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes
20238,"Oignon rouge, cru","fruits, légumes, légumineuses et oléagineux",légumes
20239,"Oignon jaune, cru","fruits, légumes, légumineuses et oléagineux",légumes
20263,"Légumes pour potages, surgelés, crus","fruits, légumes, légumineuses et oléagineux",légumes
20265,"Julienne ou brunoise de légumes, surgelée, crue","fruits, légumes, légumineuses et oléagineux",légumes
20266,"Légumes pour ratatouille, surgelés","fruits, légumes, légumineuses et oléagineux",légumes
20267,"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)","fruits, légumes, légumineuses et oléagineux",légumes
20269,"Haricot plat, cru","fruits, légumes, légumineuses et oléagineux",légumes
20270,"Épinard, jeunes pousses pour salades, cru","fruits, légumes, légumineuses et oléagineux",légumes
20272,"Mesclun ou salade, mélange de jeunes pousses","fruits, légumes, légumineuses et oléagineux",légumes
20276,"Tomate ronde, crue","fruits, légumes, légumineuses et oléagineux",légumes
20279,"Asperge, verte, crue","fruits, légumes, légumineuses et oléagineux",légumes
20280,"Chou romanesco ou brocoli à pomme, cru","fruits, légumes, légumineuses et oléagineux",légumes
20282,"Asperge, blanche ou violette, pelée, crue","fruits, légumes, légumineuses et oléagineux",légumes
20283,"Salicorne (Salicornia sp.), fraîche","fruits, légumes, légumineuses et oléagineux",légumes
20288,"Salade sucrine, crue","fruits, légumes, légumineuses et oléagineux",légumes
20295,"Salade feuille de chêne, crue","fruits, légumes, légumineuses et oléagineux",légumes
20496,"Légumes pour couscous, surgelés, crus","fruits, légumes, légumineuses et oléagineux",légumes
20584,"Tomate grappe, crue","fruits, légumes, légumineuses et oléagineux",légumes
25604,"Salade verte, crue, sans assaisonnement","fruits, légumes, légumineuses et oléagineux",légumes
53100,"Banane plantain, crue","fruits, légumes, légumineuses et oléagineux",légumes
