id,source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
3145,25909,19.90,0.20,0.10,0.40,0,0,0.2,0.09,0.05,,1,0.1,2,1,15,430,,0,,,0,,,,,0,0.06,0.01,0,0.02,0.01,12,0.05
3146,25910,169.00,1.35,4.93,1.40,1.34,1.5,0.55,,0.26,,12,0.27,1,4,28,315,0.25,0.054,,,1,1,0,0.11,0.2,0.5,0.013,0.01,0.24,0,0.02,6,0
3147,25912,201.00,0.81,4.09,3.07,0.52,0.91,1.58,0.4,0.96,,7,0.09,2,12,62,312,0.06,0.016,,8.4,5.5,0,0.1,0.24,9.6,,0.006,0.008,0.17,0.072,0.007,1,0
3148,25913,139.00,0.61,3.89,1.41,1.22,1.82,0.96,0.36,0.029,,15,0.3,7,20,140,259,,,,,4,3500,,,,11,0.05,,0.65,,0.08,9,
3149,25914,163.00,0.74,6.27,0.99,0.88,2.95,0.36,0.29,0.3,,11,0.14,5.9,15,130,259,0.08,0.03,,20,21,1680,0.6,0.69,1.01,6.4,0.01,0.056,0.58,0.2,0.2,23.8,0.01
3150,25915,263.00,3.75,5.40,2.50,1.9,0.9,,,,,19,0.97,17,54,157,337,0.84,0.07,,2,4.4,172,0.02,0.6,,3.2,0.03,0.04,0.96,0.18,0.07,16,0.11
3151,25916,204.00,1.20,5.60,2.00,1.8,1.7,0.6,0.34,0.29,,33.3,0.56,12.5,34.5,106,300,0.19,0.11,,1,0,885,0,0.67,3.2,1.25,0.023,0.034,0.44,0.22,0.071,10,0
3152,25917,128.00,1.20,5.20,0.35,0.8,1.2,0.2,0.23,0.06,,19,0.4,14,24,132,256,0.19,0.1,,1,0,900,,0.2,,7,,,,,0.07,18,
3153,25919,122.00,0.91,5.09,0.50,0.21,1.06,0.14,,,,,,,0,0.01,253,,,,,,,,,,,,,,,,,
3154,25923,126.00,0.97,5.25,0.44,0.49,1.21,0.17,,,,,,,,37.8,334,,,,,,,,,,,,,,,,,
3155,25924,145.00,1.20,5.77,0.55,0.72,1.49,0.23,,,,,,,,80.5,318,,,,,,,,,,,,,,,,,
3156,25925,110.00,0.63,4.84,0.41,0.28,0.91,0.2,,,,,,,0.013,0.023,292,,,,,10,90,,,,30,0.07,,0.8,0.27,,,
3157,25928,115.00,0.99,4.58,0.44,0.51,0.55,0.17,,,,,,,,,292,,,,,,,,,,3,,,,,0.03,8,
3158,25930,38.30,0.60,1.33,0.15,0,0.33,0.057,0.068,0.0072,,5.25,0.15,2,0.01,0.01,290,0.048,0.041,,,0,0,0,0.01,0,0,0.0029,0.015,0.55,0.016,0.0083,1.75,0.065
3159,25932,148.00,0.60,5.14,1.31,0.28,0.99,0.73,,,,,,,0.015,0.035,303,,,,,,,,,,,,,,,,10,
3160,25933,158.00,1.10,5.87,0.80,1.3,3.43,0.5,,,,,,,,,307,,,,,,,,,,20,,,,,,,
3380,25623,1310.00,14.10,22.10,18.30,2.5,2.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,
3161,25934,201.00,1.40,6.80,1.40,1.2,1.2,0.8,,,,12.5,0.29,9.35,,94,312,,,,,,,,,,3.84,0.04,,0.47,,0.07,16.8,
3162,25935,152.00,0.76,5.79,0.97,0.64,2.44,0.32,0.41,0.16,,11,0.14,5,10,65,278,0.1,0.03,,20,21,147,,0.25,1.33,0.5,0.02,0.017,0.46,0.064,0.027,6.85,0.14
3163,25936,158.00,0.65,4.37,1.79,0.82,0.63,0.73,0.6,0.15,,10,0.02,2.5,9.51,48,311,0.07,0.02,,20,21,14.7,0.25,0.24,0.8,0.5,0.03,0.034,0.37,0.16,0.033,8.25,0.028
3164,25942,101.00,0.58,4.37,0.40,0.31,1.3,0.23,,,,20,,5.26,0.01,56.7,318,0.083,0.043,,1,,,,,,,,,,,,,
3165,25945,150.00,0.67,4.13,1.56,1.31,2.37,0.88,0.56,0.069,,15,0.14,5.8,17,130,256,0.13,0.03,,20,21,2530,0,0.51,1.03,0.5,0.018,0.014,0.1,0.13,0.065,9.35,0.036
3166,25947,23.50,0.60,0.50,0.13,0.0001,0.18,0.083,0.022,0.018,,5,0.05,1,0,10,312,0.01,0,,,1,0,,,,0,0.005,0.01,0.1,0.02,0,1,0.01
3167,25948,22.70,0.34,0.65,0.16,0,0.19,0.14,0.011,0.0067,,1,0.1,2,0,8,240,,0,,,0,2,,,,0,0.11,0.01,0.1,,0,1,0
3168,25949,91.50,0.63,4.21,0.18,0.32,0.72,0.099,,,,9.1,0.18,4.8,0,62,271,0.08,0.05,,20,21,162,0.25,0.34,0.8,0.5,0.02,0.04,1.44,1.04,0.018,11,
3169,25950,90.00,0.75,3.87,0.25,0.26,0.31,0.081,,,,7.2,0.1,3.5,14,36,272,0.1,0.02,,20,21,20.7,,0.08,0.8,0.5,0.28,0.01,0.1,0.041,0.025,,0.026
3170,25953,134.00,2.00,4.10,0.50,1.5,0.25,0.2,0.2,0.1,,,,,,,260,,,,,,,,,,,,,,,,,
3171,25954,161.00,0.79,5.61,1.24,0.76,2.64,0.61,,,,,,,0.01,0.01,279,,,,,,,,,,,,,,,,,
3172,25955,93.80,0.70,3.40,0.50,0.7,0.5,0.2,,,,,,,,,360,,,,,,,,,,,,,,,,,
3173,25956,132.00,1.14,5.53,0.34,0.79,1.07,0.02,,,,,,,,122,281,,,,,,,,,,5,,,,,0.06,18,
