id,source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
3713,20092,,8.10,56.00,1.49,23.6,38.8,0.26,0.076,0.73,,212,3.93,118,346,2540,275,1.57,0.37,,,0,34000,0,5.45,108,14.6,0.53,0.42,6.57,1.47,1.04,55,0
3986,13418,,0.60,10.80,0.00,0.5,3.87,,,,,,,,,199,,,,,,,90,,,,6,,,,,,31.3,
3714,20180,,8.95,75.00,0.46,9.2,37.4,0.078,0.064,0.18,,257,1.55,92,303,1620,170,1.89,0.42,,,0,11,0,0.18,3.8,75,0.5,0.1,0.99,1.38,1.6,166,0
3715,20189,,14.20,43.30,2.99,12.3,37.6,0.46,0.53,1.21,,110,9.09,194,356,3430,247,1.99,1.42,,,0,524,0,0.01,43,39.2,0.53,0.49,9.05,2.09,0.33,68,0
3716,20202,,7.27,,0.08,,0,0,,0,,,,,,,37.8,,,,,,,,,,,,,,,,,
3717,20211,1330.00,9.58,63.90,0.99,11.5,2.21,0.23,0.32,0.15,,11,1.72,132,294,1530,13,7.66,5.17,,,0,0,3.9,0,0,3.5,0.3,1.27,14.1,21.9,0.97,163,0
3718,20256,779.00,4.27,13.40,11.70,5.63,6.5,1.32,5.88,3.54,,47,2.68,81,139,1570,1020,0.78,0.47,,,0,,0,,,102,0.19,0.38,3.63,0.48,0.32,23,0
3719,20800,,1.06,,0.06,,,,,,,,,,,,,,,,,,,,,,6.07,,,,,,,
3720,20801,,,12.30,,8.4,0.44,,,,,,,,,2400,,,,,,,326,,,,,,,,,,,
3721,20802,,,13.90,,8.7,0.2,,,,,,,,,2580,,,,,,,767,,,,,,,,,,,
3722,20803,,3.25,,0.00,,,,,,,,,,,,,,,,,,,,,,19.3,,,,,,,
3723,20804,,1.21,5.93,0.03,1.9,,,,,,,,,,192,,,0.063,,,,,,,,7.4,,,,,,20.8,
3724,20805,,1.23,4.60,0.02,3,,,,,,,,,,198,,,0.0019,,,,,,,,12.5,,,,,,17.8,
3725,20808,,0.73,,0.58,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
3726,20809,,0.42,,0.27,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,
3727,20810,,2.25,,0.10,2.1,,,,,,0.059,1.31,,,432,,,,,,,1060,,,22.5,2.67,,,,,,57.2,
3728,20811,,1.15,,0.30,,,,,,,,,,,,,,,,,,,,,,4.07,,,,,,,
3729,20812,,,50.10,,11.3,0.018,,,,,,,,,,,,,,,,483,,,,0,,,,,,,
3730,20813,,1.29,,0.11,,,,,,,,,,,,,,,,,,,,,,8.17,,,,,,,
3731,20814,,1.10,4.51,0.10,2,1.91,,,,,,,,,321,,,,,,,1710,,,,,,,,,,20.5,
3732,20815,,,3.75,,2.4,1.35,,,,,,,,,347,,,,,,,257,,,,,,,,,,,
3733,20816,,,2.42,,2.9,0.82,,,,,,,,,319,,,,,,,747,,,,,,,,,,,
3734,20817,,1.03,5.62,0.05,2,1.56,,,,,,,,,442,,,,,,,1430,,,,,,,,,,31.7,
3735,20818,,,3.51,,1.6,1.44,,,,,,,,,353,,,,,,,320,,,,,,,,,,,
3736,20819,,,4.37,,2.4,1.47,,,,,,,,,454,,,,,,,441,,,,,,,,,,,
3737,20821,,1.80,4.69,0.30,4.8,,,,,,,,61,,374,,,,,,,163,,,,3,,,,,,107,
3738,20822,,0.24,5.28,0.10,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8,
3739,20823,,1.65,17.90,0.30,3.9,,,,,,,,,,198,,,0,,,,,,0.14,,0.87,,,0.1,,,,
3740,20824,,2.04,27.60,0.37,2.67,,,,,,,,,,349,,,0.05,,,,,,0.27,,0.81,,,0.6,,,,
3741,20825,,2.25,18.40,0.30,3.9,,,,,,,,,,25.1,,,0.01,,,,,,0.18,,22,,,0.7,,,,
3742,20826,,1.23,,0.18,,,,,,,,,,,,,,,,,,,,,,9.57,,,,,,,
3743,20827,,0.60,,0.00,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,
3744,20828,,2.58,,0.80,,,,,,,,,,,,,,,,,,,,,,73.2,,,,,,,
3745,20829,,0.67,,0.00,,,,,,,,,,,,,,,,,,,,,,39.3,,,,,,,
3746,20830,,0.63,,0.00,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,,,
3747,20831,,,19.30,,4.9,0.021,,,,,,,,,,,,,,,,130,,,,4,,,,,,,
3748,20832,,1.48,25.20,0.07,9.2,0.19,,,,,,,,,425,,,0.26,,,,645,,0.24,,12.5,,,,,,92.2,
3749,20833,,16.30,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,20834,,1.13,,0.05,,,,,,,,,,,,,,,,,,,,,,9.23,,,,,,,
3751,20835,,1.06,,0.06,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,
3752,20296,74.40,1.69,1.70,0.30,1.3,0.4,0.01,0.01,0.01,,88,0.93,17,28,330,15,0.28,0.04,,20,,1760,,1.5,53.8,9.54,0.026,0.061,0.36,0.18,0.073,71.9,
3753,20297,93.80,0.63,3.50,0.30,1.4,2.8,0.01,0.01,0.01,,14,0.46,8.5,23,170,7,0.1,0.03,,20,,8.74,,0.08,1.77,0.5,0.015,0.01,0.35,0.32,0.024,16.2,
3754,4000,1500.00,0.19,87.80,0.02,0.9,3.35,0.005,0.005,0.003,,20,1.58,1,7,11,1,0.12,0.02,,2.7,0,0,0,0,0,0,0.004,0,0,0.14,0.008,4,0
3755,4002,390.00,1.96,20.10,0.10,1.5,1.7,0.026,0.002,0.043,,9.48,0.35,21.7,50,391,1.43,0.24,0.094,,3,0,0,0,0.04,0.3,12.8,0.11,0.021,1.4,0.56,0.3,9,0
3756,4003,341.00,1.80,16.70,0.34,1.8,0.86,0.094,0.002,0.043,,5.83,0.27,17.3,37.2,363,20.6,0.15,0.076,,5,0,2,0,0.01,2.1,2.92,0.079,0.04,1.73,0.57,0.34,31.1,0
3757,4004,2270.00,5.67,51.10,34.30,4.57,1.59,3.23,24.2,2.07,,27,1.2,66,140,1300,652,0.82,0.22,,20,21,5,0.25,12.3,5.02,8.26,0.13,0.014,19.4,0.85,0.44,31.6,0
3758,4007,,1.44,,0.30,1.6,,,,,,13,1.6,18,54,430,10,0.3,0.06,,2.25,0,,0,0.06,,15,0.09,0.06,0.4,0.38,0.36,7.5,0
3759,4008,341.00,2.16,16.20,0.18,1.8,0.78,0.038,0.0073,0.095,,14.3,0.91,22,56.2,418,0.44,0.35,0.079,,1.2,0,1,0,0.055,8.95,18.9,0.068,0.048,1.33,0.34,0.25,26,0
3760,4011,253.00,1.47,11.70,0.34,2.2,0.65,0.055,0.005,0.09,,25.4,1.26,9.4,28.8,229,60.6,0.18,0.051,,,0,,0,,,5.1,0.068,0.013,0.92,0.35,0.19,6,0
3761,4013,760.00,2.76,24.90,7.22,2.82,0.74,1.68,2.85,1.47,,25.2,1,27.9,111,550,373,0.58,0.1,,3,,3,0,0.2,,8,0.13,0.03,2.2,0.5,0.2,28,
3762,4014,312.00,1.70,15.40,0.20,1.62,0.4,0.096,,,,,,,,,96.2,,,,,,,,,,14.7,,,,,,,
3763,4015,574.00,2.50,17.30,5.70,2.6,2.2,1.16,3.58,0.66,,18,0.73,28,46,680,204,0.35,0.15,,20,,10.2,,0.37,2.66,1.97,0.043,0.01,0.72,0.41,0.15,26,
3764,4016,1570.00,10.60,69.40,3.97,8,4.67,1.55,0.14,0.27,,106,2.55,69.5,238,1510,78.1,1.3,0.47,,39,17,10,0,0.03,8.7,22.3,0.19,0.24,6.35,1.31,1.03,30,0
3765,4017,409.00,1.92,10.20,5.18,1.47,1.68,1.87,1.77,0.94,,38.7,0.19,16.3,52.3,184,223,0.2,0.025,,,45.3,30.7,0.3,0.33,3.9,8.63,0.11,0.062,0.77,0.2,0.089,7.33,0.11
3766,4018,374.00,1.89,14.20,2.40,1.5,1.41,1.46,0.6,0.13,,31.1,0.21,15.2,45.5,260,44.9,0.22,0.061,,5,22,5.5,0.2,0.07,1.9,6.1,0.088,0.041,1.1,0.48,0.23,8,0.07
3767,4019,284.00,2.63,12.10,0.53,1.8,1.71,0.32,0.16,0.016,,36.5,0.39,15,57.3,270,91.5,0.31,0.062,,5.15,5.77,3,,0.13,,3.2,0.033,0.091,1.06,0.28,0.16,4.7,0.091
3768,4020,1190.00,4.62,25.60,17.70,2.34,1.96,3.98,5.49,8.06,,22.2,0.99,9.25,41.8,138,468,0.68,0.09,,,,,,,,,,,,,,,
3769,4021,1260.00,4.50,30.20,17.70,2,3.5,3.39,4.45,9.09,,120,0.8,14,210,180,527,0.38,0.06,,20,21,5,0.25,6.6,0.8,,0.08,0.071,0.31,0.75,0.11,15.1,0.39
3770,4022,1530.00,8.04,76.10,0.46,10.3,2.35,0.15,0.01,0.19,,48.5,2.26,70.7,223,1130,220,1.05,0.27,,0.5,0,6,0,0.03,8.7,59,0.59,0.21,5.23,1.21,0.8,38,0
3771,4023,324.00,1.88,15.90,0.30,1.3,0.2,0.058,0.014,0.17,,10,0.6,,54,367,23,0.5,,,0.9,0,,0,0.06,,22,0.12,0.03,2.4,,0.44,25,0
3772,4025,732.00,3.25,25.30,5.80,3.4,,0.64,2.13,2.69,,17,0.7,24,84,550,302,0.43,0.13,,20,21,18,0.25,1.39,2.08,1.08,0.091,0.01,0.1,0.6,0.14,24.3,
3987,13419,,0.88,,0.19,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,
3773,4026,379.00,2.50,18.50,0.13,2.2,1.18,0.035,0.003,0.058,,15,1.08,28,70,535,10,0.36,0.12,,,0,6,0,0.04,2,9.6,0.064,0.048,1.41,0.38,0.31,28,0
3774,4027,654.00,2.81,23.00,4.80,4,,0.61,1.9,1.97,,11,0.63,26,100,570,77,0.42,0.15,,20,,5,,1.28,2.29,1.25,0.086,0.01,0.54,0.51,0.14,14,
3775,4028,322.00,1.81,15.70,0.50,1.9,0.2,,,,,6.5,0.31,17,40,390,5,0.23,0.07,,20,,5,,0.1,0.8,3.78,0.062,0.01,0.61,0.37,0.17,7.89,0.074
3776,4029,303.00,1.84,14.90,0.10,2.13,,,,,,,0.7,19.7,,291,,0.34,0.17,,,,,,,,18.9,,,,,0.21,53.8,
3777,4030,896.00,3.75,32.60,6.60,4.2,0.29,0.75,2.24,3.32,,11,0.67,29,81,590,156,0.45,0.11,,20,21,5,0.25,7.64,0.8,2.38,0.097,0.018,1.15,0.52,0.52,40.6,0
3778,4032,1200.00,3.28,39.40,11.90,3.9,0.69,2.94,5.85,2.54,,23.8,0.9,23.3,106,684,29,0.36,0.12,,5,2,0,0,0.44,11.2,19,0.11,0.059,2.57,0.43,0.37,32.3,0.04
3779,4034,913.00,3.44,29.50,8.50,4.8,0.4,0.96,3.67,3.46,,51,0.81,28,81,530,395,0.53,0.12,,20,21,5,0.25,2.33,0.8,0.5,0.092,0.051,0.34,0.42,0.26,18.5,
3780,4035,804.00,2.81,28.50,6.60,3.4,0.2,0.94,2.32,2.77,,27,0.61,22,59,420,347,0.39,0.09,,20,21,5,,1.29,0.89,,0.18,0.033,0.66,0.46,0.17,12.4,0.07
3781,4036,889.00,2.54,21.90,12.10,2.89,1.59,3.17,,,,,,,,,266,,,,,,,,,,,,,,,,,
3782,4037,2370.00,5.62,49.80,37.60,4.51,1.38,3.53,27.2,2.49,,21,0.98,55,120,1100,702,0.6,0.19,,20,21,5,0.25,15.3,4.56,5.07,0.31,0.02,4.74,0.83,0.35,27.3,
3783,4038,1940.00,6.58,62.10,19.80,5.19,2.49,1.94,15.4,1.5,,56,1.2,67,210,1300,487,0.87,0.25,,20,,9.62,,3.32,2.56,,0.32,0.029,2.56,1.57,0.43,,0.049
3784,4039,760.00,2.38,22.50,8.30,3.3,0.2,1.06,3.1,3.7,,18,0.55,22,70,460,328,0.35,0.13,,20,21,5,0.25,2.92,2.31,0.5,0.061,0.01,0.68,0.44,0.12,9.13,
3785,4042,745.00,2.80,23.20,7.72,2.13,0.73,1.33,2.41,3.94,,,,,,,368,,,,,,,,,,,,,,,,,
3786,4043,569.00,2.32,20.90,4.20,2.41,0.42,1.14,0.99,1.22,,,,,,,66,,,,,,,,,,6,,,,,,,
3787,4044,648.00,2.41,23.40,5.09,2.58,0.35,1.56,1.4,1.92,,,,,,,109,,,,,,,,,,,,,,,,,
3788,4045,1070.00,3.50,34.00,10.80,3.83,0.23,1.74,3.32,4.26,,,,,,,108,,,,,,,,,,,,,,,,,
3789,4046,1020.00,3.12,29.10,12.10,3.39,0.48,4.09,,,,20,1.8,,,,57.9,,,,,,,,,,6,,,,,,,
3790,4047,385.00,2.11,12.70,3.25,1.58,1.49,1.71,0.86,0.3,,35.4,0.26,15.5,51.7,238,140,0.24,0.049,,,24.4,13.1,0.17,0.17,,5.98,0.077,0.065,0.97,0.32,0.16,6.68,0.089
3791,4048,393.00,2.01,17.20,1.37,1.96,1.05,0.4,1.1,0.23,,9.62,0.43,20.7,43.7,450,48.8,0.24,0.095,,6.78,,3.68,,0.12,1.34,5.05,0.07,0.013,1.08,0.46,0.24,18.4,0.03
3792,4101,365.00,1.51,18.30,0.15,2.87,5.64,0.064,0.0035,0.048,,37.5,0.76,20,47,373,39.3,0.25,0.15,,0.2,0,8510,0,0.26,1.8,2.4,0.072,0.061,0.56,0.8,0.19,11,0
3793,4102,265.00,1.69,12.20,0.15,2.9,6.11,0.042,0.002,0.077,,32.5,0.71,22.5,43,353,31.5,0.26,0.13,,3,0,10500,0,0.83,2.2,16.2,0.082,0.077,1.01,0.73,0.23,6,0
3794,4103,334.00,1.10,12.10,2.00,4.5,7.5,1.4,,,,,,,,,225,,,,,,,,,,,,,,,,,
3795,20050,346.00,1.80,16.00,0.70,2.2,9.6,0,0.004,0.001,,32.9,0.2,14.1,64,452,35.9,0.34,0.1,,10,0,50,0,0.19,0.1,3.2,0.05,0.03,0.05,0.38,0.04,44.3,0
3796,20196,257.00,1.94,11.50,0.31,2.1,9.6,0.11,0.0062,0.13,,21,2,16.5,75.2,495,3.5,0.11,0.13,,0.1,0,12,0,0.17,0.1,5,0.14,0.058,1.3,0.39,0.084,24.5,0
3797,53101,529.00,0.79,28.90,0.18,2.3,14,0.069,0.015,0.033,,2,0.58,32,28,465,5,0.13,0.066,,,0,369,0,0.13,0.7,10.9,0.046,0.052,0.76,0.23,0.24,26,0
3798,53200,453.00,1.50,22.80,0.20,4.1,0.4,0.041,0.016,0.083,,43,0.55,33,84,591,11,0.23,0.17,,,0,35,0,2.38,1,4.5,0.095,0.025,0.6,0.3,0.28,22,0
3799,53201,555.00,0.52,29.50,0.11,5.1,0.49,0.023,0.009,0.046,,18,0.72,30,76,484,15,0.27,0.2,,,0,39,0,2.93,1.2,5,0.11,0.028,0.51,0.34,0.33,19,0
3800,53502,469.00,1.53,23.80,0.17,4.1,0.5,0.037,0.006,0.076,,17,0.54,21,55,816,9,0.24,0.18,,,0,83,0,0.35,2.3,17.1,0.11,0.032,0.55,0.31,0.29,23,0
3801,53503,463.00,1.49,23.60,0.14,3.9,0.49,0.029,0.005,0.06,,14,0.52,18,49,670,8,0.2,0.15,,,0,73,0,0.34,2.3,12.1,0.095,0.028,0.55,0.31,0.23,16,0
3802,54031,664.00,1.31,36.30,0.29,1.8,1.7,0.074,0.075,0.048,,16,0.27,21,27,271,14,0.34,0.1,,,0,8,0,0.19,1.9,20.6,0.087,0.048,0.85,0.11,0.088,27,0
3803,54034,561.00,0.69,32.00,0.04,0.4,,,,,,12.1,0.6,,40.5,,,0.35,0.018,,,,,,,,13.1,0.023,0.018,0.47,,,,
3804,54500,444.00,1.07,22.20,0.23,4.9,11,0.048,0.034,0.066,,17,0.54,25,30,490,2,0.12,0.084,,,0,0,0,0.1,0.5,29,0.11,0.03,0.9,0.46,0.1,14,0
3805,20293,547.00,9.63,13.70,0.50,15.8,1.1,0.11,0.06,0.28,,72,2.7,53,180,480,9,1.2,0.26,,20,,15.6,0.25,0.1,3.61,1.62,0.17,0.02,0.86,0.14,0.065,71.4,
3806,20500,350.00,8.06,9.35,0.80,3.1,0.4,0.16,0.08,0.49,,37,1.5,37,160,200,10,1,0.31,,20,0,206,0,0.28,5.52,0.5,0.043,0.064,0.69,0.12,0.037,65.3,0
3807,20502,469.00,6.75,12.00,1.10,13.8,0.3,0.25,0.15,0.61,,120,1.7,33,110,260,9.3,0.67,0.19,,20,0,5.48,0.25,0.08,4.37,0.5,0.03,0.017,0.32,0.061,0.039,31.1,0
3808,20503,487.00,9.63,12.30,0.60,11.6,0.5,0.19,0.16,0.24,,55,2.3,39,150,300,8.4,0.94,0.27,,20,0,5,0.25,0.08,1.06,0.5,0.12,0.022,0.25,0.083,0.067,78.3,0
3809,20505,,9.02,12.20,0.38,7.9,1.8,0.053,0.064,0.18,,26.2,1.44,35.6,180,222,2,0.98,0.24,,3,0,5,0,0.11,1.7,1.5,0.17,0.073,1.06,0.64,0.18,181,0
3810,20506,,8.60,16.30,1.49,7.95,3.85,0.16,0.33,0.66,,24.7,2.09,20.9,134,327,4.5,0.65,0.19,,2,0,10,0,0.19,4.5,0.85,0.15,0.06,0.71,0.44,0.094,119,0
3811,20507,618.00,8.31,17.70,3.00,8.2,0.3,0.46,0.82,1.59,,72,1.3,44,140,170,10.9,1.1,0.24,,20,0,13,0.25,1.22,2.53,0.5,0.06,0.027,0.21,0.14,0.09,84.4,
3812,20508,,6.10,12.20,0.79,6.3,0.2,0.11,0.016,0.14,,63.1,1.3,26.5,86,281,293,0.1,0.1,,10,0,50,0,0.37,,1,0.07,0.16,0.79,0.05,0.05,23,0
3813,20510,,6.28,11.80,0.64,4,0.42,0.11,0.15,0.26,,21,1.67,15.8,82.7,178,230,0.55,0.12,,3,0,25,0,0.19,,,0.083,0.043,0.43,0.2,0.12,11,0
3814,20511,,6.57,10.90,0.40,7,0.52,0.11,0.026,0.13,,73,2.99,51,91,454,270,1.12,0.23,,3,0,0,0,0.79,2.9,0,0.096,0.037,0.11,0.19,0.075,65,0
3815,20513,469.00,6.75,12.00,1.10,13.8,0.3,0.25,0.15,0.61,,120,1.7,33,110,260,9.3,0.67,0.19,,20,,5.48,0.25,0.08,4.37,0.5,0.03,0.017,0.32,0.061,0.039,31.1,
3816,20524,,8.31,13.00,0.97,7,1,0.41,0.052,0.35,,58,1.5,29,118,250,269,0.74,0.28,,,0,0,0,,,0.2,0.06,0.015,0.42,,,23,0
3817,20531,,7.54,11.90,0.55,6.4,2.01,0.038,0.029,0.36,,53,1.75,63,156,231,7,0.83,0.14,,,0,19,0,0.15,2.7,1,0.15,0.075,1.5,0.43,0.058,94,0
3818,20532,,6.74,15.00,2.68,5.45,0.5,0.3,0.47,0.92,,41.2,1.15,27.5,82.5,135,216,0.93,0.21,,,0,11.5,0,0.29,3.4,0.1,0.03,0.015,0.14,0.3,0.29,36.5,0
3819,20540,,5.63,15.80,1.10,16.5,0.5,0.19,0.11,0.58,,68,1.8,32,97,360,28.2,0.6,0.18,,20,0,10,0.5,0.08,1.45,0.5,0.072,0.02,0.31,0.065,0.064,34.6,0
3820,20542,,6.40,9.00,0.50,2.9,0.2,0.11,0.08,0.28,,31,1.3,22,97,97,7.2,0.62,0.17,,20,,83.6,0.25,,3.2,0.5,0.043,0.038,0.57,0.28,0.042,49.1,
3821,20543,,5.60,7.40,0.50,5.8,1,0.01,0.01,0.01,,61,0.93,26,88,150,8,0.55,0.21,,20,,102,0.25,,4.16,0.5,0.061,0.055,0.98,0.13,0.038,37.1,
3822,20587,535.00,10.10,16.20,0.58,8.45,0.2,0.093,0.13,0.18,,39.5,2.45,34,160,215,5.8,1.25,0.25,,20,,16.8,0.25,0.53,2.65,0.5,0.094,0.022,0.52,0.24,0.11,50.5,
3823,20588,,9.70,16.30,0.70,6,0.4,0.13,0.18,0.34,,32,2.5,31,120,230,5,1.1,0.3,,20,,13.6,0.25,,0.93,0.5,0.087,0.01,0.57,0.35,0.13,43.1,
3824,20589,,10.60,15.00,0.50,8.2,0.26,0.09,0.13,0.28,,21,2.2,25,110,190,5,1.3,0.29,,20,,12.5,0.25,,2.56,0.5,0.12,0.01,0.47,0.24,0.082,23,
3825,20700,,8.38,12.10,0.62,9.34,1.31,0.12,0.094,0.32,,52.7,1.55,34.9,159,235,4.63,0.9,0.23,,5.47,0,16,0.038,0.099,2.63,1.05,0.12,0.056,0.81,0.44,0.13,131,0
3826,20517,,6.76,4.20,0.67,5.85,0.37,0.13,0.061,0.33,,29.5,1.73,35.5,112,291,37.5,0.79,0.24,,,0,196,0,1.16,40.9,18.4,0.15,0.2,1.87,0.16,0.071,122,0
3827,20521,,8.86,19.00,0.58,3.1,,0.061,0.11,0.23,,25,3.21,37,173,322,11,1.51,0.35,,,0,,0,,,16.5,0.23,0.13,1.13,0.58,0.19,100,0
3828,20534,,36.20,21.50,9.74,18.9,,1.16,3.94,2.44,,176,4.36,198,440,1010,15,4.75,1.02,,,0,0,0,,,4.8,0.64,0.22,2.19,0.75,0.36,355,0
3829,20536,,7.50,7.95,0.22,3.6,2.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
3830,20537,,9.32,25.60,0.70,4.4,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
3831,20541,,14.90,14.90,0.30,6.5,2,0,,,,,,,,,15,,,,,,,,,,,,,,,,,
3832,20501,,19.10,43.90,1.78,16.8,1.92,0.22,0.074,0.36,,183,7.97,187,363,1660,11,3.23,0.73,,0.6,0,0,0,0.28,5.6,2.04,0.44,0.15,0.48,0.86,0.41,307,0
3833,20504,,25.40,50.60,1.34,7.63,1.25,0.13,0.19,0.53,,45.4,6.51,62,326,674,74,3.17,0.71,,0.7,0,23,0,0.49,5,4.5,0.69,0.21,2.3,1.75,0.55,257,0
3834,20515,,22.80,52.00,1.44,15.8,2.75,0.23,0.22,0.75,,37.4,5.16,65.5,364,969,15.4,3.68,0.75,,0.5,0,89,0,0.09,47.8,1.4,0.77,0.2,2.69,1.88,0.12,154,0
3835,20516,,20.50,47.50,5.85,13.3,6.5,0.55,1.34,2.67,,90.5,5.36,120,276,759,23.2,1.88,0.71,,0.6,0,40,0,3.1,9,3.5,0.49,0.18,1.52,1.59,0.48,369,0
3836,20518,,26.10,33.30,1.53,25,5.7,0.25,0.3,0.63,,103,6.7,192,421,1060,13,3.14,0.82,,,0,32,0,0.05,9,1.4,0.56,0.33,2.83,0.98,0.37,423,0
3837,20525,,22.50,46.10,1.06,15.2,2.1,0.15,0.082,0.59,,83,6.69,138,406,1360,12,2.79,0.7,,1.9,0,0,0,0.21,5.6,4.5,0.61,0.22,2.11,0.78,0.4,394,0
3838,20530,,24.50,47.60,1.42,16.7,,0.24,0.13,0.73,,113,7.16,228,387,1110,26.5,3.02,0.96,,,0,,0,1.9,170,12.2,0.45,0.24,1.85,0.55,0.39,421,0
3839,20535,,27.70,44.90,0.80,15.4,1.29,0.14,0.23,0.37,,29,6.3,74,330,750,5,3.9,0.82,,20,0,29.9,0.25,,9.25,0.5,0.32,0.018,1.42,1.05,0.41,124,0
3840,20539,,19.10,42.10,2.60,23.4,,0.35,0.24,1.49,,,7.3,160,440,,7.9,2.3,0.68,,20,,27,0.5,0.08,13.7,0.5,0.31,0.03,1.93,0.68,0.41,121,
3841,20585,,25.10,44.50,1.80,16.4,1.1,0.24,0.45,0.95,,64,6.3,97,480,940,5,3.4,0.6,,20,,36.7,0.25,,11.9,1.63,0.29,0.046,1.98,1.34,0.35,117,
3842,20586,,26.10,48.30,1.90,12.1,1.4,0.32,0.52,0.94,,54,7.4,91,360,780,5,3,0.79,,20,,30.7,0.25,,9.82,0.5,0.32,0.029,1.92,1.62,0.44,103,
3843,13000,194.00,0.81,9.01,0.50,1.7,6.7,0.01,0.01,0.01,,15,0.19,8.4,22,260,5,0.09,0.06,,20,0,2350,0,0.7,0.8,2.55,0.03,0.013,0.1,0.19,0.054,7.6,0
3844,13002,231.00,0.50,11.70,0.50,1.2,10.5,0.01,0.01,0.01,,8,0.17,15,8.1,140,5,0.08,0.06,,20,0,66.9,0,0.08,0.8,46.1,0.056,0.033,0.31,0.17,0.052,19.6,0
3845,13005,383.00,1.06,19.70,0.50,2.7,15.6,0.01,0.01,0.01,,5.1,0.2,28,29,320,5,0.14,0.06,,20,0,28.5,0,0.08,0.8,7.16,0.054,0.01,0.39,0.31,0.18,19,0
3846,13007,,1.33,9.68,0.86,5.8,9.68,0.14,0.071,0.46,,57.1,1.17,23,53.5,330,2.5,0.28,0.093,,1.5,0,100,0,2.1,,181,0.038,0.038,0.3,0.4,0.073,8.2,0
3847,13008,235.00,0.81,13.00,0.30,1.6,10,0.01,0.01,0.01,,9.9,0.17,8.8,19,190,5,0.06,0.08,,20,0,242,0,0.08,0.8,4.09,0.015,0.012,0.1,0.14,0.04,6.75,0
3848,13009,118.00,0.50,1.56,0.50,0.5,0.8,0.01,0.01,0.01,,11,0.15,7.9,12,140,5,0.33,0.04,,20,0,5,0,0.08,0.8,45,0.043,0.01,0.1,0.14,0.023,28.4,0
3849,13010,,0.51,13.40,0.10,1.9,6.3,0.0085,0.032,0.043,,11,0.7,8,17,197,4,0.04,0.13,,0.4,0,,0,0.55,,15,0.02,0.03,0.2,0.081,0.04,3,0
3850,13012,293.00,1.19,13.50,0.50,4.1,12.2,0.01,0.01,0.01,,57,0.27,22,21,230,5,0.16,0.08,,20,0,73.6,0,0.08,5.22,0.5,0.015,0.01,0.37,0.15,0.059,24.5,0
3851,13014,162.00,0.63,6.03,0.50,3.8,5.6,0.01,0.01,0.01,,18,0.19,12,23,140,5,0.11,0.02,,20,0,5,0,0.3,0.8,54,0.015,0.01,0.21,0.13,0.04,98.9,0
3852,13015,206.00,1.19,5.83,0.80,4.3,5.4,0.13,0.16,0.43,,16,0.4,20,29,170,5,0.24,0.04,,20,0,100,0,0.88,5.02,18.7,0.015,0.02,0.35,0.85,0.032,38.1,0
3853,13016,425.00,2.13,10.90,3.00,6.8,8.5,0.54,0.49,1.82,,8.1,0.56,26,46,240,5,0.76,0.15,,20,0,1010,0,0.5,0.8,25.6,0.015,0.053,1.37,0.56,0.17,101,0
3854,13018,340.00,1.44,14.30,1.20,2.3,13.3,0.07,0.07,0.96,,9.5,0.17,12,27,230,5,0.22,0.11,,20,0,12.1,0,0.08,0.8,9.02,0.054,0.01,0.23,0.37,0.032,8.77,0
3988,13420,,0.42,,0.19,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,,
3855,13019,289.00,1.56,7.06,0.70,4.6,6.63,0.21,0.11,0.38,,38,0.35,12,38,230,5,0.15,0.09,,20,0,25.6,0,1.19,2.06,29.8,0.041,0.01,0.18,0.65,0.03,11.8,0
3856,13020,,0.75,4.88,0.59,4.03,,0.058,0.059,0.31,,25.4,0.33,9,26.2,187,1.5,0.14,0.063,,0.3,0,,0,0.69,,29,0.033,0.029,0.29,0.29,0.048,8.85,0
3857,13021,255.00,0.88,11.00,0.60,2.4,8.9,0.13,0.16,0.25,,29,0.16,12,26,290,5,0.12,0.15,,20,0,38,0,0.96,16.6,81.9,0.015,0.021,0.23,0.24,0.036,22.2,0
